iter	RMSE
0	3.57557717
1	3.516182887
2	3.457365265
3	3.403167141
4	3.35207143
5	3.298573519
6	3.248235156
7	3.208177987
8	3.163408978
9	3.124124981
10	3.084808787
11	3.046222113
12	3.01309744
13	2.977659836
14	2.943387836
15	2.910862411
16	2.887385979
17	2.857771605
18	2.834181224
19	2.812383494
20	2.788028152
21	2.76332284
22	2.738850455
23	2.719428478
24	2.698862737
25	2.681026247
26	2.661234775
27	2.647540246
28	2.631208492
29	2.61551989
30	2.599564737
31	2.581999395
32	2.568880624
33	2.553186241
34	2.538868709
35	2.528188605
36	2.517937408
37	2.506160694
38	2.493509228
39	2.480693288
40	2.471799514
41	2.463993446
42	2.454856348
43	2.447505564
44	2.435846589
45	2.426101983
46	2.415734852
47	2.410694873
48	2.406124613
49	2.397672588
50	2.390499846
51	2.383100717
52	2.375934472
53	2.368227414
54	2.361792585
55	2.35450849
56	2.344842508
57	2.338862983
58	2.330572239
59	2.327601779
60	2.320216246
61	2.315115511
62	2.311013039
63	2.303970436
64	2.298847487
65	2.296132716
66	2.289333595
67	2.285111471
68	2.281086596
69	2.279493675
70	2.275999864
71	2.269913918
72	2.265075435
73	2.261464567
74	2.259919268
75	2.257159193
76	2.254294673
77	2.250224875
78	2.245106051
79	2.240626874
80	2.2378788
81	2.234950305
82	2.233042921
83	2.227779912
84	2.223948313
85	2.220597423
86	2.217374451
87	2.214218871
88	2.211227549
89	2.208772327
90	2.203861714
91	2.200092293
92	2.195470496
93	2.191515001
94	2.187676282
95	2.1858491
96	2.184617385
97	2.180941968
98	2.177088398
99	2.174415807
100	2.173042852
101	2.169192414
102	2.168410182
103	2.167293558
104	2.165186774
105	2.162140091
106	2.158122387
107	2.153392475
108	2.151956631
109	2.148542925
110	2.147482703
111	2.144724235
112	2.143584287
113	2.13955902
114	2.137291181
115	2.136530335
116	2.133559047
117	2.132569523
118	2.130247192
119	2.12775462
120	2.126204438
121	2.124130904
122	2.121184756
123	2.119731843
124	2.118019
125	2.117030007
126	2.114161265
127	2.112840606
128	2.111691262
129	2.108412548
130	2.107040526
131	2.105360377
132	2.104547247
133	2.103516518
134	2.102037318
135	2.100165242
136	2.099633288
137	2.099404747
138	2.099010108
139	2.098932054
140	2.098585952
141	2.096709643
142	2.09555731
143	2.093883231
144	2.091203725
145	2.090703474
146	2.089877419
147	2.087276374
148	2.085013739
149	2.082376367
150	2.081548747
151	2.081460948
152	2.080555769
153	2.077935017
154	2.076241299
155	2.075491627
156	2.073467748
157	2.071090614
158	2.06857181
159	2.068376814
160	2.067411583
161	2.064858172
162	2.063472796
163	2.063245419
164	2.059936592
165	2.058577431
166	2.057855263
167	2.054538833
168	2.050717637
169	2.050079588
170	2.049373575
171	2.048181738
172	2.048177906
173	2.045893181
174	2.042694392
175	2.041504571
176	2.041502402
177	2.04111136
178	2.040670534
179	2.038989295
180	2.038687119
181	2.03638888
182	2.036379886
183	2.036364961
184	2.036333333
185	2.035600108
186	2.034081117
187	2.033526928
188	2.031581517
189	2.031250793
190	2.0304629
191	2.030429891
192	2.029806684
193	2.0294961
194	2.027807581
195	2.027134521
196	2.027133131
197	2.025947185
198	2.024548703
199	2.019967158
200	2.019707877
201	2.019688146
202	2.016652495
203	2.015947156
204	2.015873274
205	2.015252257
206	2.012934061
207	2.011019672
208	2.008483656
209	2.008235821
210	2.006083596
211	2.006079984
212	2.005773352
213	2.00501018
214	2.002496807
215	1.9991267
216	1.996765087
217	1.994412989
218	1.994391898
219	1.99436687
220	1.994348401
221	1.993199194
222	1.992937845
223	1.992240881
224	1.990838031
225	1.988867866
226	1.987655849
227	1.987636002
228	1.987623345
229	1.985415525
230	1.982975771
231	1.982842093
232	1.981682252
233	1.98103294
234	1.980885312
235	1.980713895
236	1.979290572
237	1.978179827
238	1.976576794
239	1.976083581
240	1.975114925
241	1.973934026
242	1.971597567
243	1.971586848
244	1.971572046
245	1.971560714
246	1.968650423
247	1.968641426
248	1.968623023
249	1.968606665
250	1.96858315
251	1.968138555
252	1.967995482
253	1.96551424
254	1.963805658
255	1.962295505
256	1.960252299
257	1.9594866
258	1.959469138
259	1.959450135
260	1.959265543
261	1.956722522
262	1.954341593
263	1.952048085
264	1.950290142
265	1.950226673
266	1.948558191
267	1.948547242
268	1.9485459
269	1.948530612
270	1.947231163
271	1.946083194
272	1.94507228
273	1.945066279
274	1.944493137
275	1.944491895
276	1.944482786
277	1.942269451
278	1.942268311
279	1.941055401
280	1.940394984
281	1.940393947
282	1.940392909
283	1.939415041
284	1.938119034
285	1.938057659
286	1.938052362
287	1.936153957
288	1.935410443
289	1.935402955
290	1.935402227
291	1.934562814
292	1.932854571
293	1.930969401
294	1.930968359
295	1.930900398
296	1.930322112
297	1.929257037
298	1.92645575
299	1.926172492
300	1.926023063
301	1.926019928
302	1.924141241
303	1.922784905
304	1.922780613
305	1.921291222
306	1.919264033
307	1.91925858
308	1.919253022
309	1.919060368
310	1.916848548
311	1.916146071
