iter	Passed	Remaining
0	30	30303
1	58	29438
2	88	29252
3	113	28292
4	136	27241
5	162	26857
6	189	26919
7	213	26454
8	240	26433
9	267	26438
10	294	26447
11	320	26428
12	348	26434
13	375	26449
14	401	26356
15	431	26521
16	458	26529
17	484	26437
18	514	26562
19	538	26380
20	566	26422
21	594	26438
22	622	26428
23	651	26503
24	683	26652
25	712	26685
26	741	26731
27	770	26760
28	798	26737
29	823	26624
30	849	26545
31	875	26498
32	903	26473
33	929	26422
34	955	26357
35	983	26341
36	1009	26279
37	1037	26271
38	1061	26150
39	1088	26131
40	1114	26062
41	1141	26043
42	1171	26081
43	1201	26096
44	1226	26035
45	1253	25988
46	1275	25869
47	1302	25823
48	1327	25763
49	1352	25700
50	1376	25617
51	1403	25579
52	1426	25479
53	1454	25483
54	1479	25413
55	1502	25327
56	1528	25289
57	1556	25278
58	1583	25250
59	1607	25184
60	1632	25135
61	1660	25116
62	1687	25104
63	1716	25099
64	1743	25078
65	1770	25051
66	1795	25006
67	1822	24978
68	1846	24914
69	1873	24891
70	1901	24875
71	1929	24868
72	1956	24842
73	1981	24792
74	2009	24782
75	2036	24765
76	2064	24746
77	2091	24727
78	2118	24702
79	2149	24723
80	2176	24692
81	2202	24653
82	2231	24650
83	2255	24594
84	2285	24602
85	2313	24587
86	2341	24575
87	2373	24600
88	2403	24604
89	2432	24593
90	2459	24569
91	2488	24564
92	2514	24519
93	2544	24527
94	2573	24517
95	2599	24474
96	2625	24442
97	2650	24397
98	2677	24366
99	2703	24333
100	2728	24284
101	2753	24245
102	2781	24219
103	2804	24160
104	2829	24121
105	2851	24051
106	2879	24032
107	2904	23991
108	2927	23933
109	2955	23910
110	2983	23897
111	3015	23908
112	3044	23895
113	3071	23875
114	3097	23837
115	3122	23791
116	3151	23787
117	3179	23768
118	3202	23709
119	3228	23674
120	3253	23631
121	3277	23586
122	3301	23542
123	3328	23516
124	3351	23457
125	3377	23425
126	3403	23393
127	3426	23343
128	3453	23315
129	3477	23272
130	3503	23243
131	3527	23198
132	3554	23174
133	3582	23152
134	3608	23119
135	3635	23096
