id,Target
1,9
2,12
3,5
4,11
5,10
6,10
7,10
8,7
9,10
10,9
11,11
12,7
13,10
14,9
15,14
16,12
17,12
18,6
19,10
20,10
21,7
22,10
23,9
24,8
25,12
26,6
27,10
28,15
29,11
30,10
31,8
32,10
33,6
34,11
35,10
36,7
37,12
38,10
39,12
40,9
41,10
42,7
43,9
44,12
45,6
46,9
47,9
48,11
49,10
50,8
51,10
52,10
53,11
54,10
55,9
56,10
57,11
58,10
59,10
60,6
61,12
62,15
63,6
64,15
65,11
66,12
67,8
68,8
69,11
70,8
71,9
72,9
73,7
74,8
75,11
76,7
77,11
78,10
79,9
80,8
81,12
82,11
83,10
84,6
85,9
86,7
87,10
88,6
89,8
90,11
91,11
92,10
93,10
94,13
95,10
96,10
97,10
98,11
99,9
100,11
101,12
102,9
103,11
104,10
105,12
106,8
107,10
108,7
109,9
110,10
111,9
112,12
113,14
114,8
115,8
116,10
117,10
118,8
119,8
120,13
121,8
122,13
123,11
124,7
125,6
126,11
127,11
128,12
129,12
130,11
131,6
132,7
133,5
134,8
135,11
136,13
137,9
138,9
139,7
140,10
141,10
142,6
143,11
144,11
145,10
146,10
147,10
148,10
149,4
150,10
151,11
152,6
153,7
154,12
155,10
156,6
157,11
158,10
159,8
160,10
161,12
162,6
163,9
164,12
165,10
166,6
167,6
168,15
169,9
170,13
171,5
172,10
173,11
174,12
175,6
176,10
177,6
178,11
179,12
180,10
181,8
182,9
183,10
184,10
185,9
186,10
187,7
188,10
189,10
190,12
191,9
192,10
193,7
194,6
195,12
196,8
197,10
198,7
199,12
200,7
201,9
202,11
203,11
204,6
205,9
206,7
207,11
208,9
209,16
210,7
211,9
212,7
213,11
214,9
215,8
216,9
217,9
218,13
219,6
220,8
221,5
222,14
223,12
224,8
225,11
226,6
227,11
228,8
229,8
230,10
231,10
232,7
233,7
234,11
235,11
236,5
237,9
238,10
239,10
240,13
241,10
242,11
243,8
244,5
245,12
246,11
247,13
248,10
249,8
250,11
251,10
252,7
253,8
254,12
255,9
256,7
257,9
258,10
259,6
260,6
261,10
262,12
263,13
264,11
265,4
266,10
267,14
268,6
269,7
270,12
271,12
272,8
273,14
274,11
275,9
276,13
277,13
278,13
279,9
280,10
281,5
282,10
283,5
284,8
285,12
286,9
287,11
288,10
289,8
290,6
291,10
292,6
293,9
294,9
295,11
296,7
297,10
298,10
299,10
300,8
301,7
302,7
303,10
304,13
305,10
306,15
307,9
308,9
309,5
310,9
311,12
312,12
313,8
314,8
315,12
316,9
317,10
318,8
319,8
320,7
321,11
322,5
323,9
324,5
325,8
326,11
327,9
328,12
329,10
330,11
331,10
332,10
333,9
334,7
335,11
336,8
337,8
338,10
339,10
340,14
341,11
342,10
343,12
344,9
345,5
346,14
347,12
348,10
349,13
350,10
351,7
352,10
353,11
354,12
355,10
356,7
357,7
358,8
359,12
360,15
361,12
362,10
363,9
364,8
365,10
366,16
367,7
368,9
369,9
370,11
371,9
372,9
373,10
374,10
375,9
376,8
377,8
378,6
379,9
380,12
381,11
382,9
383,11
384,10
385,7
386,10
387,11
388,10
389,11
390,10
391,10
392,11
393,9
394,9
395,10
396,7
397,8
398,13
399,8
400,14
401,12
402,9
403,7
404,9
405,11
406,10
407,11
408,9
409,11
410,10
411,7
412,7
413,9
414,8
415,10
416,10
417,10
418,4
419,12
420,9
421,11
422,8
423,6
424,9
425,10
426,11
427,10
428,10
429,10
430,10
431,11
432,8
433,8
434,13
435,11
436,11
437,9
438,8
439,12
440,10
441,8
442,8
443,9
444,11
445,12
446,5
447,10
448,10
449,10
450,14
451,12
452,10
453,10
454,11
455,12
456,7
457,11
458,8
459,12
460,9
461,12
462,9
463,8
464,6
465,9
466,9
467,9
468,7
469,11
470,6
471,11
472,10
473,9
474,11
475,11
476,8
477,7
478,11
479,11
480,11
481,13
482,11
483,10
484,9
485,12
486,11
487,10
488,10
489,13
490,11
491,14
492,9
493,9
494,11
495,10
496,13
497,9
498,8
499,10
500,8
501,6
502,9
503,14
504,9
505,11
506,9
507,8
508,10
509,9
510,8
511,9
512,10
513,8
514,10
515,12
516,10
517,9
518,11
519,6
520,7
521,10
522,13
523,6
524,7
525,11
526,10
527,14
528,12
529,7
530,12
531,12
532,11
533,10
534,10
535,10
536,8
537,10
538,6
539,11
540,10
541,14
542,5
543,10
544,10
545,12
546,10
547,15
548,8
549,10
550,9
551,11
552,11
553,9
554,11
555,13
556,7
557,9
558,8
559,14
560,11
561,17
562,9
563,9
564,10
565,10
566,10
567,7
568,11
569,11
570,7
571,9
572,11
573,7
574,11
575,9
576,10
577,8
578,6
579,8
580,11
581,9
582,8
583,6
584,10
585,11
586,8
587,8
588,10
589,12
590,10
591,8
592,9
593,4
594,8
595,11
596,9
597,10
598,6
599,10
600,9
601,16
602,8
603,10
604,11
605,8
606,9
607,10
608,10
609,10
610,6
611,8
612,10
613,9
614,7
615,8
616,6
617,12
618,7
619,11
620,11
621,10
622,9
623,10
624,11
625,10
626,8
627,14
628,11
629,11
630,15
631,12
632,10
633,13
634,10
635,9
636,11
637,7
638,10
639,9
640,4
641,12
642,13
643,13
644,12
645,9
646,9
647,7
648,7
649,12
650,11
651,12
652,9
653,9
654,11
655,10
656,6
657,5
658,13
659,7
660,10
661,7
662,10
663,10
664,12
665,10
666,14
667,10
668,9
669,11
670,7
671,10
672,11
673,6
674,12
675,11
676,12
677,15
678,13
679,12
680,11
681,7
682,9
683,10
684,15
685,11
686,15
687,7
688,12
689,4
690,11
691,4
692,8
693,12
694,11
695,10
696,12
697,10
698,11
699,10
700,9
701,7
702,8
703,7
704,10
705,9
706,15
707,10
708,9
709,12
710,6
711,10
712,6
713,10
714,11
715,10
716,9
717,6
718,5
719,12
720,9
721,11
722,7
723,4
724,10
725,8
726,11
727,11
728,7
729,10
730,9
731,8
732,10
733,9
734,9
735,5
736,7
737,11
738,6
739,10
740,12
741,10
742,11
743,14
744,12
745,10
746,12
747,12
748,6
749,12
750,9
751,4
752,13
753,10
754,9
755,10
756,13
757,14
758,12
759,11
760,10
761,10
762,8
763,10
764,13
765,10
766,8
767,7
768,13
769,11
770,12
771,11
772,10
773,12
774,10
775,6
776,9
777,8
778,10
779,10
780,8
781,9
782,11
783,10
784,10
785,9
786,9
787,10
788,7
789,4
790,10
791,10
792,5
793,9
794,10
795,7
796,8
797,12
798,9
799,8
800,9
801,14
802,6
803,9
804,10
805,10
806,8
807,10
808,7
809,11
810,9
811,10
812,7
813,13
814,14
815,8
816,10
817,9
818,8
819,6
820,11
821,8
822,11
823,12
824,10
825,11
826,10
827,4
828,8
829,7
830,14
831,10
832,6
833,3
834,11
835,5
836,12
837,11
838,17
839,10
840,7
841,8
842,11
843,7
844,6
845,10
846,8
847,10
848,12
849,9
850,11
851,8
852,7
853,14
854,11
855,8
856,8
857,5
858,10
859,9
860,10
861,9
862,9
863,7
864,7
865,5
866,10
867,9
868,9
869,7
870,6
871,11
872,11
873,10
874,11
875,10
876,10
877,10
878,10
879,9
880,11
881,6
882,10
883,7
884,10
885,14
886,8
887,9
888,9
889,7
890,8
891,8
892,7
893,12
894,11
895,11
896,6
897,10
898,6
899,10
900,9
901,9
902,9
903,10
904,9
905,8
906,10
907,8
908,10
909,10
910,11
911,9
912,12
913,10
914,8
915,10
916,7
917,6
918,8
919,13
920,11
921,6
922,14
923,9
924,7
925,9
926,9
927,5
928,13
929,13
930,9
931,6
932,13
933,11
934,10
935,11
936,7
937,12
938,10
939,8
940,9
941,10
942,11
943,9
944,10
945,11
946,8
947,9
948,8
949,9
950,10
951,14
952,11
953,11
954,11
955,8
956,8
957,11
958,6
959,8
960,11
961,11
962,8
963,6
964,9
965,13
966,8
967,9
968,7
969,6
970,11
971,5
972,11
973,12
974,14
975,11
976,8
977,10
978,10
979,11
980,10
981,11
982,11
983,10
984,9
985,6
986,15
987,6
988,15
989,10
990,8
991,9
992,9
993,11
994,9
995,10
996,12
997,8
998,9
999,11
1000,5
1001,13
1002,11
1003,12
1004,9
1005,11
1006,13
1007,4
1008,11
1009,12
1010,11
1011,15
1012,13
1013,10
1014,9
1015,4
1016,11
1017,11
1018,7
1019,12
1020,10
1021,10
1022,9
1023,12
1024,10
1025,9
1026,9
1027,9
1028,10
1029,12
1030,12
1031,11
1032,10
1033,11
1034,12
1035,8
1036,9
1037,12
1038,11
1039,8
1040,10
1041,10
1042,8
1043,5
1044,10
1045,8
1046,13
1047,5
1048,10
1049,10
1050,10
1051,8
1052,11
1053,11
1054,12
1055,10
1056,10
1057,8
1058,14
1059,10
1060,7
1061,12
1062,9
1063,6
1064,10
1065,7
1066,9
1067,9
1068,11
1069,12
1070,11
1071,12
1072,9
1073,13
1074,9
1075,9
1076,12
1077,9
1078,14
1079,11
1080,10
1081,13
1082,11
1083,12
1084,10
1085,10
1086,8
1087,7
1088,10
1089,13
1090,13
1091,8
1092,9
1093,8
1094,8
1095,12
1096,8
1097,5
1098,9
1099,12
1100,10
1101,9
1102,9
1103,9
1104,8
1105,4
1106,10
1107,11
1108,9
1109,8
1110,7
1111,7
1112,9
1113,10
1114,10
1115,10
1116,6
1117,13
1118,11
1119,9
1120,4
1121,9
1122,11
1123,12
1124,5
1125,9
1126,10
1127,9
1128,11
1129,9
1130,11
1131,12
1132,10
1133,7
1134,10
1135,10
1136,7
1137,8
1138,7
1139,14
1140,4
1141,7
1142,10
1143,12
1144,10
1145,9
1146,10
1147,10
1148,9
1149,10
1150,7
1151,10
1152,12
1153,11
1154,10
1155,11
1156,7
1157,9
1158,10
1159,11
1160,11
1161,10
1162,5
1163,11
1164,9
1165,10
1166,11
1167,9
1168,8
1169,11
1170,9
1171,10
1172,9
1173,11
1174,13
1175,12
1176,10
1177,12
1178,11
1179,12
1180,11
1181,10
1182,7
1183,10
1184,12
1185,9
1186,12
1187,10
1188,10
1189,10
1190,5
1191,8
1192,10
1193,10
1194,10
1195,11
1196,10
1197,10
1198,6
1199,13
1200,9
1201,10
1202,5
1203,9
1204,10
1205,12
1206,10
1207,10
1208,13
1209,6
1210,10
1211,10
1212,10
1213,8
1214,10
1215,9
1216,10
1217,7
1218,13
1219,11
1220,12
1221,10
1222,11
1223,8
1224,9
1225,6
1226,7
1227,16
1228,9
1229,10
1230,11
1231,9
1232,10
1233,9
1234,11
1235,10
1236,11
1237,14
1238,9
1239,11
1240,11
1241,10
1242,15
1243,10
1244,9
1245,11
1246,11
1247,8
1248,10
1249,11
1250,12
1251,8
1252,7
1253,6
1254,11
1255,13
1256,7
1257,6
1258,7
1259,10
1260,11
1261,10
1262,11
1263,9
1264,10
1265,14
1266,8
1267,10
1268,12
1269,10
1270,9
1271,14
1272,12
1273,9
1274,14
1275,7
1276,7
1277,7
1278,12
1279,9
1280,7
1281,13
1282,12
1283,12
1284,13
1285,11
1286,10
1287,9
1288,7
1289,7
1290,7
1291,10
1292,11
1293,9
1294,11
1295,9
1296,10
1297,13
1298,6
1299,9
1300,10
1301,9
1302,7
1303,8
1304,10
1305,10
1306,11
1307,7
1308,4
1309,8
1310,10
1311,9
1312,7
1313,10
1314,6
1315,12
1316,11
1317,4
1318,9
1319,11
1320,12
1321,10
1322,11
1323,9
1324,12
1325,9
1326,11
1327,9
1328,11
1329,6
1330,11
1331,12
1332,8
1333,9
1334,10
1335,6
1336,11
1337,10
1338,14
1339,9
1340,14
1341,13
1342,13
1343,7
1344,8
1345,10
1346,10
1347,10
1348,5
1349,13
1350,8
1351,6
1352,8
